sku,description,category,unit_cost,unit_price,safety_stock,abc_class
MSD-2088,Sanitiser Heavy duty,JANITORIAL,2.17,3.57,0,C
MSD-2089,Spark plug Large,AUTOMOTIVE,68.99,122.06,0,C
MSD-2090,"Hex bolt 3/8""",FASTENERS,48.19,62.42,40,A
MSD-2091,Stretch wrap M6,PACKAGING,1.91,3.49,0,C
MSD-2092,Safety goggle Standard,PPE,31.95,51.25,0,C
MSD-2093,Terminal block XL,ELECTRICAL,30.94,45.55,25,B
MSD-2094,Microfibre cloth M6,JANITORIAL,28.93,45.39,0,C
MSD-2095,Brake pad set Large,AUTOMOTIVE,34.13,57.25,0,C
MSD-2096,Lock washer 12mm,FASTENERS,31.37,46.54,25,B
MSD-2097,Poly mailer XL,PACKAGING,0.74,1.0,0,C
MSD-2098,Hard hat Standard,PPE,69.72,119.71,0,C
MSD-2099,Cable tie Large,ELECTRICAL,29.86,44.77,80,A
MSD-2100,Floor cleaner XL,JANITORIAL,34.83,52.48,0,C
MSD-2101,Oil filter XL,AUTOMOTIVE,76.2,108.22,0,C
MSD-2102,Anchor set 12mm,FASTENERS,25.27,41.89,20,B
MSD-2103,Pallet wrap M8,PACKAGING,22.57,38.77,0,C
MSD-2104,Ear defender XL,PPE,16.9,27.47,0,C
MSD-2105,Conduit clip M8,ELECTRICAL,9.12,15.64,0,B
MSD-2106,Paper towel XL,JANITORIAL,17.87,24.14,0,C
MSD-2107,Wiper blade Standard,AUTOMOTIVE,65.51,106.38,0,C
MSD-2108,Machine screw M8,FASTENERS,20.95,37.59,60,A
MSD-2109,Void fill XL,PACKAGING,9.78,13.5,0,C
MSD-2110,Nitrile glove Standard,PPE,72.79,132.1,0,C
MSD-2111,Cable gland 12mm,ELECTRICAL,53.86,80.73,25,B
MSD-2112,Bin liner M6,JANITORIAL,77.76,112.25,0,C
MSD-2114,"Threaded rod 3/8""",FASTENERS,67.84,119.38,25,B
MSD-2115,Corrugated carton Standard,PACKAGING,73.42,102.32,0,C
MSD-2116,Hi-vis vest Large,PPE,40.22,59.55,0,C
MSD-2117,Junction box Heavy duty,ELECTRICAL,17.55,23.88,80,A
MSD-2118,Sanitiser M8,JANITORIAL,36.54,48.55,0,C
MSD-2119,Spark plug XL,AUTOMOTIVE,6.84,12.52,0,C
MSD-2120,Hex bolt 12mm,FASTENERS,58.61,81.47,25,B
MSD-2121,Stretch wrap Large,PACKAGING,56.56,97.3,0,C
MSD-2122,Safety goggle M6,PPE,67.57,117.5,0,C
MSD-2123,"Terminal block 3/8""",ELECTRICAL,77.16,134.92,25,B
MSD-2124,Microfibre cloth M8,JANITORIAL,56.96,78.36,0,C
MSD-2125,Brake pad set 12mm,AUTOMOTIVE,1.96,3.25,0,C
MSD-2126,Lock washer M6,FASTENERS,13.55,22.06,40,A
MSD-2127,"Poly mailer 3/8""",PACKAGING,32.18,52.77,0,C
MSD-2128,Hard hat Standard,PPE,59.95,110.06,0,C
MSD-2129,Cable tie Large,ELECTRICAL,73.12,123.45,25,B
MSD-2130,Floor cleaner M6,JANITORIAL,9.36,15.12,0,C
MSD-2131,Oil filter M8,AUTOMOTIVE,14.32,20.75,0,C
MSD-2132,"Anchor set 3/8""",FASTENERS,14.49,23.28,20,B
MSD-2133,Pallet wrap Standard,PACKAGING,37.68,63.39,0,C
MSD-2134,"Ear defender 3/8""",PPE,24.61,44.4,0,C
MSD-2135,Conduit clip 12mm,ELECTRICAL,28.85,41.0,80,A
MSD-2136,Paper towel Large,JANITORIAL,61.14,91.94,0,C
MSD-2137,Wiper blade Large,AUTOMOTIVE,59.69,109.03,0,C
MSD-2138,Machine screw Standard,FASTENERS,12.65,21.6,25,B
MSD-2139,Void fill XL,PACKAGING,31.64,43.51,0,C
MSD-2140,Nitrile glove Large,PPE,18.87,34.83,0,C
MSD-2141,Cable gland M6,ELECTRICAL,16.74,28.23,25,B
MSD-2142,Bin liner 12mm,JANITORIAL,16.11,21.14,0,C
MSD-2143,Air filter Heavy duty,AUTOMOTIVE,42.68,61.6,0,C
MSD-2144,Threaded rod Heavy duty,FASTENERS,4.42,7.14,60,A
MSD-2145,"Corrugated carton 3/8""",PACKAGING,2.03,2.67,0,C
MSD-2146,Hi-vis vest 12mm,PPE,32.66,44.65,0,C
MSD-2147,Junction box M6,ELECTRICAL,13.69,18.42,0,B
MSD-2148,Sanitiser 12mm,JANITORIAL,61.48,80.71,0,C
MSD-2149,Spark plug Standard,AUTOMOTIVE,64.7,84.12,0,C
MSD-2150,Hex bolt M6,FASTENERS,35.44,49.55,0,B
MSD-2151,Stretch wrap M6,PACKAGING,40.84,53.32,0,C
MSD-2152,Safety goggle M6,PPE,42.74,55.39,0,C
MSD-2153,Terminal block Large,ELECTRICAL,55.94,77.08,60,A
MSD-2154,Microfibre cloth 12mm,JANITORIAL,1.8,3.04,0,C
MSD-2155,Brake pad set XL,AUTOMOTIVE,23.55,38.29,0,C
MSD-2156,Lock washer Large,FASTENERS,24.33,39.78,25,B
MSD-2157,Poly mailer Heavy duty,PACKAGING,76.82,102.53,0,C
MSD-2158,Hard hat XL,PPE,42.76,76.04,0,C
MSD-2159,Cable tie Heavy duty,ELECTRICAL,58.69,102.23,25,B
MSD-2160,Floor cleaner XL,JANITORIAL,69.01,99.52,0,C
MSD-2161,Oil filter Large,AUTOMOTIVE,70.83,124.8,0,C
MSD-2162,Anchor set XL,FASTENERS,61.14,84.57,80,A
MSD-2163,Pallet wrap Standard,PACKAGING,68.73,110.56,0,C
MSD-2164,Ear defender Heavy duty,PPE,18.01,31.74,0,C
MSD-2165,Conduit clip Standard,ELECTRICAL,60.61,105.66,20,B
MSD-2166,Paper towel Heavy duty,JANITORIAL,20.28,26.58,0,C
MSD-2167,"Wiper blade 3/8""",AUTOMOTIVE,37.3,64.47,0,C
MSD-2168,Machine screw Large,FASTENERS,5.51,8.76,25,B
MSD-2169,Void fill M6,PACKAGING,25.51,42.58,0,C
MSD-2170,Nitrile glove Standard,PPE,22.28,38.99,0,C
MSD-2171,Cable gland M8,ELECTRICAL,29.57,54.1,40,A
MSD-2172,Bin liner M6,JANITORIAL,65.28,96.05,0,C
MSD-2173,"Air filter 3/8""",AUTOMOTIVE,3.11,5.31,0,C
MSD-2174,Threaded rod 12mm,FASTENERS,38.21,68.89,20,B
MSD-2175,Corrugated carton 12mm,PACKAGING,26.09,41.46,0,C
MSD-2176,"Hi-vis vest 3/8""",PPE,70.19,98.92,0,C
MSD-2177,Junction box 12mm,ELECTRICAL,70.39,119.28,0,B
MSD-2178,Sanitiser M8,JANITORIAL,72.93,94.52,0,C
MSD-2179,Spark plug XL,AUTOMOTIVE,22.97,41.87,0,C
MSD-2180,Hex bolt Standard,FASTENERS,22.58,37.83,40,A
MSD-2181,Stretch wrap XL,PACKAGING,67.7,92.85,0,C
MSD-2182,Safety goggle 12mm,PPE,41.25,70.45,0,C
MSD-2183,Terminal block Large,ELECTRICAL,9.73,14.59,0,B
MSD-2184,Microfibre cloth M8,JANITORIAL,12.87,20.23,0,C
MSD-2185,Brake pad set Large,AUTOMOTIVE,53.15,71.36,0,C
MSD-2186,Lock washer M6,FASTENERS,5.13,7.6,0,B
MSD-2187,Poly mailer 12mm,PACKAGING,48.63,80.89,0,C
MSD-2188,Hard hat Heavy duty,PPE,33.49,59.82,0,C
MSD-2189,Cable tie Standard,ELECTRICAL,42.82,65.01,60,A
MSD-2190,Floor cleaner M6,JANITORIAL,38.08,60.59,0,C
MSD-2191,Oil filter 12mm,AUTOMOTIVE,25.71,43.66,0,C
MSD-2192,Anchor set 12mm,FASTENERS,41.79,57.61,25,B
MSD-2193,Pallet wrap M6,PACKAGING,71.37,101.65,0,C
MSD-2194,Ear defender Heavy duty,PPE,6.52,9.54,0,C
MSD-2195,Conduit clip Heavy duty,ELECTRICAL,16.82,22.13,20,B
MSD-2196,"Paper towel 3/8""",JANITORIAL,50.22,76.92,0,C
MSD-2197,Wiper blade 12mm,AUTOMOTIVE,53.91,83.86,0,C
MSD-2198,Machine screw M8,FASTENERS,63.35,93.89,60,A
MSD-2199,"Void fill 3/8""",PACKAGING,71.23,96.48,0,C
MSD-2200,Nitrile glove 12mm,PPE,64.79,83.78,0,C
MSD-2201,Cable gland Heavy duty,ELECTRICAL,12.67,20.98,20,B
MSD-2202,"Bin liner 3/8""",JANITORIAL,61.87,95.98,0,C
MSD-2203,Air filter XL,AUTOMOTIVE,75.21,124.47,0,C
MSD-2204,Threaded rod XL,FASTENERS,55.04,73.21,25,B
MSD-2205,Corrugated carton Standard,PACKAGING,20.8,36.64,0,C
MSD-2206,Hi-vis vest Heavy duty,PPE,21.28,30.22,0,C
MSD-2207,Junction box 12mm,ELECTRICAL,18.12,32.91,60,A
MSD-2208,Sanitiser Large,JANITORIAL,29.32,44.5,0,C
MSD-2209,Spark plug Standard,AUTOMOTIVE,16.03,26.83,0,C
MSD-2210,Hex bolt Standard,FASTENERS,47.15,63.5,0,B
MSD-2211,Stretch wrap Large,PACKAGING,17.1,31.18,0,C
MSD-2212,Safety goggle M8,PPE,13.87,19.19,0,C
MSD-2213,Terminal block 12mm,ELECTRICAL,33.31,58.42,0,B
MSD-2214,Microfibre cloth XL,JANITORIAL,38.93,65.88,0,C
MSD-2215,Brake pad set Heavy duty,AUTOMOTIVE,54.04,73.04,0,C
MSD-2216,Lock washer M6,FASTENERS,9.81,17.15,40,A
MSD-2217,Poly mailer XL,PACKAGING,33.3,46.34,0,C
MSD-2218,Hard hat Standard,PPE,42.96,70.12,0,C
MSD-2219,Cable tie Heavy duty,ELECTRICAL,69.83,102.62,25,B
MSD-2220,"Floor cleaner 3/8""",JANITORIAL,60.38,96.28,0,C
MSD-2221,Oil filter Heavy duty,AUTOMOTIVE,42.78,62.85,0,C
MSD-2222,Anchor set 12mm,FASTENERS,59.95,104.81,25,B
MSD-2223,Pallet wrap Heavy duty,PACKAGING,2.57,3.95,0,C
MSD-2224,Ear defender M6,PPE,20.12,26.76,0,C
MSD-2225,"Conduit clip 3/8""",ELECTRICAL,60.32,97.64,40,A
MSD-2226,Paper towel Heavy duty,JANITORIAL,57.18,79.52,0,C
MSD-2227,Wiper blade XL,AUTOMOTIVE,52.62,95.92,0,C
MSD-2228,"Machine screw 3/8""",FASTENERS,9.36,16.44,25,B
MSD-2229,Void fill 12mm,PACKAGING,76.85,113.07,0,C
MSD-2230,Nitrile glove 12mm,PPE,31.93,51.16,0,C
MSD-2231,Cable gland M8,ELECTRICAL,41.28,61.21,20,B
MSD-2232,Bin liner Standard,JANITORIAL,68.39,96.29,0,C
MSD-2233,Air filter M8,AUTOMOTIVE,75.1,106.53,0,C
MSD-2234,Threaded rod XL,FASTENERS,38.82,62.48,60,A
MSD-2235,Corrugated carton 12mm,PACKAGING,57.65,103.24,0,C
MSD-2236,Hi-vis vest M6,PPE,31.53,48.48,0,C
MSD-2237,Junction box XL,ELECTRICAL,27.85,49.59,25,B
MSD-2238,Sanitiser M8,JANITORIAL,26.1,38.29,0,C
MSD-2239,Spark plug M6,AUTOMOTIVE,34.56,55.51,0,C
MSD-2240,Hex bolt Standard,FASTENERS,48.25,82.46,20,B
MSD-2241,Stretch wrap M8,PACKAGING,23.84,34.9,0,C
MSD-2242,Safety goggle 12mm,PPE,41.55,57.75,0,C
MSD-2243,Terminal block Standard,ELECTRICAL,56.68,94.94,60,A
MSD-2244,Microfibre cloth 12mm,JANITORIAL,23.39,38.4,0,C
MSD-2245,Brake pad set Heavy duty,AUTOMOTIVE,58.81,92.97,0,C
MSD-2246,"Lock washer 3/8""",FASTENERS,52.85,71.54,25,B
MSD-2247,Poly mailer 12mm,PACKAGING,61.28,82.76,0,C
MSD-2248,Hard hat XL,PPE,4.53,6.42,0,C
MSD-2249,Cable tie 12mm,ELECTRICAL,17.14,22.51,0,B
MSD-2250,Floor cleaner 12mm,JANITORIAL,22.05,36.27,0,C
MSD-3301,Corrugated carton 400x300 (case of 12),PACKAGING,16.51,16.72,0,B
MSD-3302,Nitrile glove box (case of 24),PACKAGING,12.38,23.19,0,B
MSD-3303,Stretch wrap roll (pallet of 480),PACKAGING,24.6,54.75,0,B
MSD-3304,"Poly mailer 350x450 (case, rule missing)",PACKAGING,12.26,49.74,0,B
