po_id,sku,warehouse,qty_ordered,qty_received,eta,status,supplier,uom
PO-7729,MSD-2008,WH1,50,19,2026-09-18,PARTIAL,Northgate Supply,EA
PO-7732,MSD-2197,WH1,600,600,2026-09-29,RECEIVED,Ambro Components,EA
PO-7741,MSD-2015,WH3,250,0,2026-09-14,IN_TRANSIT,Verity Packaging,EA
PO-7776,MSD-2029,WH3,250,250,2026-09-21,RECEIVED,Northgate Supply,EA
PO-7774,MSD-2227,WH3,50,0,2026-09-08,IN_TRANSIT,Verity Packaging,EA
PO-7787,MSD-2086,WH3,400,0,2026-09-19,BOOKED,Lakeside Materials,EA
PO-7713,MSD-2090,WH2,400,0,2026-09-29,IN_TRANSIT,Ambro Components,EA
PO-7795,MSD-2132,WH1,600,0,2026-09-30,IN_TRANSIT,Northgate Supply,EA
PO-7760,MSD-2191,WH3,100,0,2026-09-10,BOOKED,Kestrel Distribution,EA
PO-7821,MSD-2018,WH1,200,0,2026-09-12,IN_TRANSIT,Kestrel Distribution,EA
PO-7798,MSD-2188,WH2,250,250,2026-09-18,RECEIVED,Lakeside Materials,EA
PO-7723,MSD-2021,WH1,50,15,2026-09-28,PARTIAL,Kestrel Distribution,EA
PO-7751,MSD-2138,WH1,600,600,2026-09-16,RECEIVED,Cordell Industrial,EA
PO-7722,MSD-2173,WH1,100,100,2026-09-25,RECEIVED,Northgate Supply,EA
PO-7758,MSD-2216,WH2,150,94,2026-09-14,PARTIAL,Kestrel Distribution,EA
PO-7797,MSD-2087,WH1,100,100,2026-09-25,RECEIVED,Kestrel Distribution,EA
PO-7715,MSD-2155,WH2,100,0,2026-09-23,IN_TRANSIT,Cordell Industrial,EA
PO-7827,MSD-2175,WH2,250,0,2026-09-03,IN_TRANSIT,Ambro Components,EA
PO-7752,MSD-2249,WH3,150,150,2026-09-25,RECEIVED,Kestrel Distribution,EA
PO-7753,MSD-2101,WH3,400,0,2026-09-30,IN_TRANSIT,Cordell Industrial,EA
PO-7749,MSD-2171,WH3,250,166,2026-09-16,PARTIAL,Lakeside Materials,EA
PO-7759,MSD-2072,WH1,150,150,2026-09-22,RECEIVED,Verity Packaging,EA
PO-7711,MSD-2040,WH1,100,0,2026-09-09,IN_TRANSIT,Cordell Industrial,EA
PO-7718,MSD-2244,WH2,200,0,2026-09-18,IN_TRANSIT,Northgate Supply,EA
PO-7815,MSD-2036,WH3,400,400,2026-09-15,RECEIVED,Northgate Supply,EA
PO-7794,MSD-2120,WH1,50,27,2026-09-07,PARTIAL,Northgate Supply,EA
PO-7802,MSD-2151,WH1,200,200,2026-09-25,RECEIVED,Kestrel Distribution,EA
PO-7717,MSD-2185,WH3,600,600,2026-09-11,RECEIVED,Cordell Industrial,EA
PO-7724,MSD-2196,WH3,400,0,2026-09-23,IN_TRANSIT,Lakeside Materials,EA
PO-7764,MSD-2158,WH3,150,0,2026-09-17,BOOKED,Northgate Supply,EA
PO-7791,MSD-2111,WH2,250,147,2026-09-08,PARTIAL,Northgate Supply,EA
PO-7806,MSD-2229,WH2,200,200,2026-09-16,RECEIVED,Northgate Supply,EA
PO-7770,MSD-2139,WH1,600,600,2026-09-22,RECEIVED,Northgate Supply,EA
PO-7778,MSD-2224,WH1,100,100,2026-09-26,RECEIVED,Northgate Supply,EA
PO-7782,MSD-2150,WH2,250,0,2026-09-13,IN_TRANSIT,Lakeside Materials,EA
PO-7796,MSD-2090,WH1,250,0,2026-09-19,IN_TRANSIT,Ambro Components,EA
PO-7816,MSD-2149,WH2,200,0,2026-09-16,IN_TRANSIT,Ambro Components,EA
PO-7777,MSD-2013,WH3,200,91,2026-09-16,PARTIAL,Cordell Industrial,EA
PO-7747,MSD-2219,WH2,250,101,2026-09-25,PARTIAL,Cordell Industrial,EA
PO-7701,MSD-2105,WH3,100,0,2026-09-18,IN_TRANSIT,Northgate Supply,EA
PO-7705,MSD-2242,WH1,250,250,2026-09-20,RECEIVED,Lakeside Materials,EA
PO-7706,MSD-2214,WH1,600,0,2026-09-28,IN_TRANSIT,Kestrel Distribution,EA
PO-7803,MSD-2051,WH3,600,600,2026-09-21,RECEIVED,Ambro Components,EA
PO-7810,MSD-2156,WH3,600,353,2026-09-16,PARTIAL,Lakeside Materials,EA
PO-7826,MSD-2101,WH2,250,0,2026-08-29,IN_TRANSIT,Ambro Components,EA
PO-7814,MSD-2045,WH2,150,0,2026-09-11,IN_TRANSIT,Northgate Supply,EA
PO-7819,MSD-2066,WH3,50,50,2026-09-23,RECEIVED,Lakeside Materials,EA
PO-7744,MSD-2146,WH2,200,0,2026-09-12,IN_TRANSIT,Cordell Industrial,EA
PO-7772,MSD-2238,WH2,50,0,2026-09-12,BOOKED,Cordell Industrial,EA
PO-7779,MSD-2028,WH3,150,0,2026-09-21,IN_TRANSIT,Ambro Components,EA
PO-7800,MSD-2013,WH2,600,0,2026-09-27,IN_TRANSIT,Kestrel Distribution,EA
PO-7746,MSD-2245,WH3,150,86,2026-09-10,PARTIAL,Cordell Industrial,EA
PO-7812,MSD-2223,WH3,400,0,2026-09-21,IN_TRANSIT,Ambro Components,EA
PO-7730,MSD-2148,WH2,250,117,2026-09-15,PARTIAL,Ambro Components,EA
PO-7762,MSD-2188,WH3,250,250,2026-09-07,RECEIVED,Cordell Industrial,EA
PO-7745,MSD-2127,WH3,50,0,2026-09-13,IN_TRANSIT,Verity Packaging,EA
PO-7710,MSD-2079,WH3,150,0,2026-09-12,IN_TRANSIT,Ambro Components,EA
PO-7771,MSD-2140,WH1,150,0,2026-09-23,IN_TRANSIT,Cordell Industrial,EA
PO-7703,MSD-2166,WH2,200,200,2026-09-14,RECEIVED,Northgate Supply,EA
PO-7824,MSD-2096,WH1,200,0,2026-09-12,IN_TRANSIT,Lakeside Materials,EA
PO-7813,MSD-2152,WH2,400,207,2026-09-17,PARTIAL,Verity Packaging,EA
PO-7805,MSD-2088,WH1,250,250,2026-09-10,RECEIVED,Lakeside Materials,EA
PO-7780,MSD-2118,WH3,100,100,2026-09-21,RECEIVED,Verity Packaging,EA
PO-7719,MSD-2076,WH2,50,0,2026-09-22,IN_TRANSIT,Verity Packaging,EA
PO-7756,MSD-2060,WH3,200,0,2026-09-26,IN_TRANSIT,Kestrel Distribution,EA
PO-7822,MSD-2044,WH1,200,0,2026-09-11,IN_TRANSIT,Northgate Supply,EA
PO-7714,MSD-2240,WH3,250,250,2026-09-27,RECEIVED,Ambro Components,EA
PO-7792,MSD-2186,WH1,50,50,2026-09-25,RECEIVED,Lakeside Materials,EA
PO-7755,MSD-2194,WH1,100,100,2026-09-23,RECEIVED,Ambro Components,EA
PO-7790,MSD-2213,WH1,150,0,2026-09-10,IN_TRANSIT,Lakeside Materials,EA
PO-7769,MSD-2165,WH1,150,150,2026-09-20,RECEIVED,Northgate Supply,EA
PO-7801,MSD-2057,WH1,100,100,2026-09-09,RECEIVED,Cordell Industrial,EA
PO-7811,MSD-2067,WH3,200,200,2026-09-11,RECEIVED,Lakeside Materials,EA
PO-7737,MSD-2108,WH3,600,211,2026-09-15,PARTIAL,Northgate Supply,EA
PO-7788,MSD-2020,WH1,250,0,2026-09-11,IN_TRANSIT,Northgate Supply,EA
PO-7716,MSD-2212,WH3,600,0,2026-09-30,BOOKED,Verity Packaging,EA
PO-7738,MSD-2163,WH3,600,600,2026-09-15,RECEIVED,Verity Packaging,EA
PO-7712,MSD-2148,WH1,150,0,2026-09-11,IN_TRANSIT,Northgate Supply,EA
PO-7818,MSD-2010,WH3,100,100,2026-09-19,RECEIVED,Cordell Industrial,EA
PO-7766,MSD-2244,WH1,150,0,2026-09-22,IN_TRANSIT,Cordell Industrial,EA
PO-7823,MSD-2071,WH1,150,0,2026-09-15,IN_TRANSIT,Northgate Supply,EA
PO-7757,MSD-2127,WH3,150,150,2026-09-21,RECEIVED,Ambro Components,EA
PO-7817,MSD-2065,WH1,100,0,2026-09-24,BOOKED,Kestrel Distribution,EA
PO-7726,MSD-2146,WH1,400,0,2026-09-24,IN_TRANSIT,Lakeside Materials,EA
PO-7786,MSD-2064,WH2,600,0,2026-09-12,IN_TRANSIT,Ambro Components,EA
PO-7750,MSD-2042,WH1,600,600,2026-09-15,RECEIVED,Cordell Industrial,EA
PO-7781,MSD-2206,WH2,50,50,2026-09-09,RECEIVED,Northgate Supply,EA
PO-7702,MSD-2202,WH1,200,200,2026-09-19,RECEIVED,Northgate Supply,EA
PO-7825,MSD-2130,WH1,200,0,2026-09-15,IN_TRANSIT,Lakeside Materials,EA
PO-7725,MSD-2086,WH3,600,333,2026-09-17,PARTIAL,Cordell Industrial,EA
PO-7731,MSD-2186,WH3,150,150,2026-09-23,RECEIVED,Verity Packaging,EA
PO-7734,MSD-2165,WH3,400,400,2026-09-08,RECEIVED,Cordell Industrial,EA
PO-7809,MSD-2102,WH1,250,250,2026-09-23,RECEIVED,Northgate Supply,EA
PO-7740,MSD-2199,WH2,250,0,2026-09-16,IN_TRANSIT,Kestrel Distribution,EA
PO-7761,MSD-2125,WH1,200,200,2026-09-22,RECEIVED,Kestrel Distribution,EA
PO-7785,MSD-2062,WH1,50,0,2026-09-12,IN_TRANSIT,Northgate Supply,EA
PO-7739,MSD-2055,WH3,400,0,2026-09-10,IN_TRANSIT,Lakeside Materials,EA
PO-7828,MSD-9500,WH1,180,0,2026-09-13,IN_TRANSIT,Kestrel Distribution,EA
PO-7768,MSD-2236,WH3,50,50,2026-09-20,RECEIVED,Verity Packaging,EA
PO-7727,MSD-2138,WH1,50,0,2026-09-10,IN_TRANSIT,Lakeside Materials,EA
PO-7820,MSD-2081,WH2,50,26,2026-09-09,PARTIAL,Verity Packaging,EA
PO-7767,MSD-2050,WH3,150,0,2026-09-17,IN_TRANSIT,Kestrel Distribution,EA
PO-7720,MSD-2142,WH1,400,400,2026-09-07,RECEIVED,Verity Packaging,EA
PO-7748,MSD-2222,WH2,150,150,2026-09-30,RECEIVED,Kestrel Distribution,EA
PO-7804,MSD-2076,WH2,600,600,2026-09-25,RECEIVED,Kestrel Distribution,EA
PO-7721,MSD-2024,WH1,200,104,2026-09-22,PARTIAL,Ambro Components,EA
