sku,location,date,opening_on_hand,receipts,shipments,adjustments,closing_on_hand
MSD-2001,WH3,2026-04-20,895,0,0,0,895
MSD-2001,WH3,2026-04-21,895,0,0,0,895
MSD-2001,WH3,2026-04-22,895,0,0,0,895
MSD-2001,WH3,2026-04-23,895,0,0,0,895
MSD-2001,WH3,2026-04-24,895,0,0,0,895
MSD-2001,WH3,2026-04-25,895,0,0,0,895
MSD-2001,WH3,2026-04-26,895,0,0,0,895
MSD-2001,WH3,2026-04-27,895,0,0,0,895
MSD-2001,WH3,2026-04-28,895,0,0,0,895
MSD-2001,WH3,2026-04-29,895,0,0,0,895
MSD-2001,WH3,2026-04-30,895,0,0,0,895
MSD-2001,WH3,2026-05-01,895,0,0,0,895
MSD-2001,WH3,2026-05-02,895,0,0,0,895
MSD-2001,WH3,2026-05-03,895,0,0,0,895
MSD-2001,WH3,2026-05-04,895,0,0,0,895
MSD-2001,WH3,2026-05-05,895,0,0,0,895
MSD-2001,WH3,2026-05-06,895,0,0,0,895
MSD-2001,WH3,2026-05-07,895,0,0,0,895
MSD-2001,WH3,2026-05-08,895,0,0,0,895
MSD-2001,WH3,2026-05-09,895,0,0,0,895
MSD-2001,WH3,2026-05-10,895,0,0,0,895
MSD-2001,WH3,2026-05-11,895,0,0,0,895
MSD-2001,WH3,2026-05-12,895,200,0,0,1095
MSD-2001,WH3,2026-05-13,1095,200,0,0,1295
MSD-2001,WH3,2026-05-14,1295,0,0,0,1295
MSD-2001,WH3,2026-05-15,1295,0,0,0,1295
MSD-2001,WH3,2026-05-16,1295,0,0,0,1295
MSD-2001,WH3,2026-05-17,1295,0,0,0,1295
MSD-2001,WH3,2026-05-18,1295,0,0,0,1295
MSD-2001,WH3,2026-05-19,1295,0,0,1,1296
MSD-2001,WH3,2026-05-20,1296,0,0,0,1296
MSD-2001,WH3,2026-05-21,1296,0,0,0,1296
MSD-2001,WH3,2026-05-22,1296,0,0,0,1296
MSD-2001,WH3,2026-05-23,1296,50,0,0,1346
MSD-2001,WH3,2026-05-24,1346,200,0,0,1546
MSD-2001,WH3,2026-05-25,1546,0,0,0,1546
MSD-2001,WH3,2026-05-26,1546,0,0,0,1546
MSD-2001,WH3,2026-05-27,1546,0,0,0,1546
MSD-2001,WH3,2026-05-28,1546,0,0,0,1546
MSD-2001,WH3,2026-05-29,1546,0,0,0,1546
MSD-2001,WH3,2026-05-30,1546,0,0,0,1546
MSD-2001,WH3,2026-05-31,1546,0,0,0,1546
MSD-2001,WH3,2026-06-01,1546,0,0,0,1546
MSD-2001,WH3,2026-06-02,1546,0,0,0,1546
MSD-2001,WH3,2026-06-03,1546,0,8,0,1538
MSD-2001,WH3,2026-06-04,1538,0,0,0,1538
MSD-2001,WH3,2026-06-05,1538,0,0,0,1538
MSD-2001,WH3,2026-06-06,1538,0,0,0,1538
MSD-2001,WH3,2026-06-07,1538,0,0,0,1538
MSD-2001,WH3,2026-06-08,1538,0,0,0,1538
MSD-2001,WH3,2026-06-09,1538,0,0,0,1538
MSD-2001,WH3,2026-06-10,1538,0,0,0,1538
MSD-2001,WH3,2026-06-11,1538,0,0,0,1538
MSD-2001,WH3,2026-06-12,1538,0,0,0,1538
MSD-2001,WH3,2026-06-13,1538,0,0,0,1538
MSD-2001,WH3,2026-06-14,1538,0,0,0,1538
MSD-2001,WH3,2026-06-15,1538,0,0,0,1538
MSD-2001,WH3,2026-06-16,1538,0,0,0,1538
MSD-2001,WH3,2026-06-17,1538,0,0,0,1538
MSD-2001,WH3,2026-06-18,1538,0,0,0,1538
MSD-2001,WH3,2026-06-19,1538,0,0,0,1538
MSD-2001,WH3,2026-06-20,1538,0,0,0,1538
MSD-2001,WH3,2026-06-21,1538,0,0,0,1538
MSD-2001,WH3,2026-06-22,1538,0,0,0,1538
MSD-2001,WH3,2026-06-23,1538,0,0,0,1538
MSD-2001,WH3,2026-06-24,1538,0,0,0,1538
MSD-2001,WH3,2026-06-25,1538,0,0,0,1538
MSD-2001,WH3,2026-06-26,1538,0,0,0,1538
MSD-2001,WH3,2026-06-27,1538,0,0,0,1538
MSD-2001,WH3,2026-06-28,1538,0,0,0,1538
MSD-2001,WH3,2026-06-29,1538,0,0,0,1538
MSD-2001,WH3,2026-06-30,1538,0,0,0,1538
MSD-2001,WH3,2026-07-01,1538,0,0,0,1538
MSD-2001,WH3,2026-07-02,1538,0,0,0,1538
MSD-2001,WH3,2026-07-03,1538,0,0,0,1538
MSD-2001,WH3,2026-07-04,1538,0,0,0,1538
MSD-2001,WH3,2026-07-05,1538,0,0,0,1538
MSD-2001,WH3,2026-07-06,1538,0,0,0,1538
MSD-2001,WH3,2026-07-07,1538,0,0,0,1538
MSD-2001,WH3,2026-07-08,1538,0,5,0,1533
MSD-2001,WH3,2026-07-09,1533,0,0,0,1533
MSD-2001,WH3,2026-07-10,1533,0,0,0,1533
MSD-2001,WH3,2026-07-11,1533,0,0,0,1533
MSD-2001,WH3,2026-07-12,1533,0,0,0,1533
MSD-2001,WH3,2026-07-13,1533,0,3,0,1530
MSD-2001,WH3,2026-07-14,1530,0,0,0,1530
MSD-2001,WH3,2026-07-15,1530,0,0,0,1530
MSD-2001,WH3,2026-07-16,1530,0,0,4,1534
MSD-2001,WH3,2026-07-17,1534,0,0,0,1534
MSD-2001,WH3,2026-07-18,1534,0,0,0,1534
MSD-2001,WH3,2026-07-19,1534,0,0,6,1540
MSD-2001,WH3,2026-07-20,1540,0,0,0,1540
MSD-2001,WH3,2026-07-21,1540,0,0,0,1540
MSD-2001,WH3,2026-07-22,1540,0,0,0,1540
MSD-2001,WH3,2026-07-23,1540,0,0,0,1540
MSD-2001,WH3,2026-07-24,1540,200,0,0,1740
MSD-2001,WH3,2026-07-25,1740,0,0,0,1740
MSD-2001,WH3,2026-07-26,1740,0,0,0,1740
MSD-2001,WH3,2026-07-27,1740,0,0,0,1740
MSD-2001,WH3,2026-07-28,1740,0,0,0,1740
MSD-2001,WH3,2026-07-29,1740,0,0,0,1740
MSD-2001,WH3,2026-07-30,1740,0,0,0,1740
MSD-2001,WH3,2026-07-31,1740,0,0,0,1740
MSD-2001,WH3,2026-08-01,1740,0,0,0,1740
MSD-2001,WH3,2026-08-02,1740,0,0,0,1740
MSD-2001,WH3,2026-08-03,1740,0,0,0,1740
MSD-2001,WH3,2026-08-04,1740,0,0,0,1740
MSD-2001,WH3,2026-08-05,1740,0,0,0,1740
MSD-2001,WH3,2026-08-06,1740,0,0,0,1740
MSD-2001,WH3,2026-08-07,1740,0,0,0,1740
MSD-2001,WH3,2026-08-08,1740,0,0,0,1740
MSD-2001,WH3,2026-08-09,1740,0,0,0,1740
MSD-2001,WH3,2026-08-10,1740,0,0,0,1740
MSD-2001,WH3,2026-08-11,1740,0,0,0,1740
MSD-2001,WH3,2026-08-12,1740,0,0,0,1740
MSD-2001,WH3,2026-08-13,1740,0,0,0,1740
MSD-2001,WH3,2026-08-14,1740,0,0,0,1740
MSD-2001,WH3,2026-08-15,1740,0,0,0,1740
MSD-2001,WH3,2026-08-16,1740,0,0,0,1740
MSD-2001,WH3,2026-08-17,1740,0,0,0,1740
MSD-2001,WH3,2026-08-18,1740,0,0,0,1740
MSD-2001,WH3,2026-08-19,1740,0,0,0,1740
MSD-2001,WH3,2026-08-20,1740,0,0,0,1740
MSD-2001,WH3,2026-08-21,1740,0,0,0,1740
MSD-2001,WH3,2026-08-22,1740,0,0,0,1740
MSD-2001,WH3,2026-08-23,1740,0,0,0,1740
MSD-2001,WH3,2026-08-24,1740,0,0,0,1740
MSD-2001,WH3,2026-08-25,1740,0,0,0,1740
MSD-2001,WH3,2026-08-26,1740,0,0,0,1740
MSD-2001,WH3,2026-08-27,1740,0,0,0,1740
MSD-2001,WH3,2026-08-28,1740,0,0,0,1740
MSD-2001,WH3,2026-08-29,1740,0,0,0,1740
MSD-2001,WH3,2026-08-30,1740,0,0,0,1740
MSD-2001,WH3,2026-08-31,1740,0,0,0,1740
MSD-2001,WH3,2026-09-01,1740,0,0,0,1740
MSD-2001,WH3,2026-09-02,1740,0,0,0,1740
MSD-2001,WH3,2026-09-03,1740,0,5,0,1735
MSD-2001,WH3,2026-09-04,1735,0,0,0,1735
MSD-2001,WH3,2026-09-05,1735,0,0,0,1735
MSD-2001,WH3,2026-09-06,1735,0,0,0,1735
MSD-2001,WH3,2026-09-07,1735,0,0,0,1735
MSD-2001,WH3,2026-09-08,1735,0,0,0,1735
MSD-2003,WH2,2026-03-13,639,0,1,0,638
MSD-2003,WH2,2026-03-14,638,0,0,0,638
MSD-2003,WH2,2026-03-15,638,0,0,0,638
MSD-2003,WH2,2026-03-16,638,0,0,0,638
MSD-2003,WH2,2026-03-17,638,0,1,0,637
MSD-2003,WH2,2026-03-18,637,0,0,0,637
MSD-2003,WH2,2026-03-19,637,0,3,0,634
MSD-2003,WH2,2026-03-20,634,0,0,0,634
MSD-2003,WH2,2026-03-21,634,0,0,0,634
MSD-2003,WH2,2026-03-22,634,0,0,0,634
MSD-2003,WH2,2026-03-23,634,0,0,0,634
MSD-2003,WH2,2026-03-24,634,0,0,0,634
MSD-2003,WH2,2026-03-25,634,0,0,0,634
MSD-2003,WH2,2026-03-26,634,0,0,0,634
MSD-2003,WH2,2026-03-27,634,0,0,0,634
MSD-2003,WH2,2026-03-28,634,0,0,0,634
MSD-2003,WH2,2026-03-29,634,0,0,0,634
MSD-2003,WH2,2026-03-30,634,0,0,0,634
MSD-2003,WH2,2026-03-31,634,0,0,0,634
MSD-2003,WH2,2026-04-01,634,0,0,0,634
MSD-2003,WH2,2026-04-02,634,0,5,0,629
MSD-2003,WH2,2026-04-03,629,0,0,0,629
MSD-2003,WH2,2026-04-04,629,0,0,-2,627
MSD-2003,WH2,2026-04-05,627,0,0,0,627
MSD-2003,WH2,2026-04-06,627,0,5,0,622
MSD-2003,WH2,2026-04-07,622,0,0,0,622
MSD-2003,WH2,2026-04-08,622,0,0,0,622
MSD-2003,WH2,2026-04-09,622,0,6,0,616
MSD-2003,WH2,2026-04-10,616,0,0,0,616
MSD-2003,WH2,2026-04-11,616,0,0,0,616
MSD-2003,WH2,2026-04-12,616,0,0,0,616
MSD-2003,WH2,2026-04-13,616,0,2,0,614
MSD-2003,WH2,2026-04-14,614,0,4,0,610
MSD-2003,WH2,2026-04-15,610,0,0,0,610
MSD-2003,WH2,2026-04-16,610,0,0,0,610
MSD-2003,WH2,2026-04-17,610,0,6,0,604
MSD-2003,WH2,2026-04-18,604,0,0,0,604
MSD-2003,WH2,2026-04-19,604,0,0,0,604
MSD-2003,WH2,2026-04-20,604,0,0,0,604
MSD-2003,WH2,2026-04-21,604,0,0,0,604
MSD-2003,WH2,2026-04-22,604,0,4,0,600
MSD-2003,WH2,2026-04-23,600,0,0,0,600
MSD-2003,WH2,2026-04-24,600,0,0,0,600
MSD-2003,WH2,2026-04-25,600,0,0,0,600
MSD-2003,WH2,2026-04-26,600,0,0,0,600
MSD-2003,WH2,2026-04-27,600,0,4,0,596
MSD-2003,WH2,2026-04-28,596,0,0,0,596
MSD-2003,WH2,2026-04-29,596,0,6,0,590
MSD-2003,WH2,2026-04-30,590,0,0,0,590
MSD-2003,WH2,2026-05-01,590,0,7,0,583
MSD-2003,WH2,2026-05-02,583,0,0,0,583
MSD-2003,WH2,2026-05-03,583,0,0,0,583
MSD-2003,WH2,2026-05-04,583,0,7,0,576
MSD-2003,WH2,2026-05-05,576,0,4,0,572
MSD-2003,WH2,2026-05-06,572,0,0,0,572
MSD-2003,WH2,2026-05-07,572,0,0,0,572
MSD-2003,WH2,2026-05-08,572,0,0,0,572
MSD-2003,WH2,2026-05-09,572,0,0,0,572
MSD-2003,WH2,2026-05-10,572,0,0,0,572
MSD-2003,WH2,2026-05-11,572,0,5,0,567
MSD-2003,WH2,2026-05-12,567,0,4,0,563
MSD-2003,WH2,2026-05-13,563,0,0,0,563
MSD-2003,WH2,2026-05-14,563,0,4,0,559
MSD-2003,WH2,2026-05-15,559,0,0,0,559
MSD-2003,WH2,2026-05-16,559,0,0,0,559
MSD-2003,WH2,2026-05-17,559,0,0,0,559
MSD-2003,WH2,2026-05-18,559,0,4,0,555
MSD-2003,WH2,2026-05-19,555,0,0,0,555
MSD-2003,WH2,2026-05-20,555,0,7,0,548
MSD-2003,WH2,2026-05-21,548,0,0,0,548
MSD-2003,WH2,2026-05-22,548,0,1,0,547
MSD-2003,WH2,2026-05-23,547,50,0,0,597
MSD-2003,WH2,2026-05-24,597,0,0,0,597
MSD-2003,WH2,2026-05-25,597,0,0,0,597
MSD-2003,WH2,2026-05-26,597,0,0,0,597
MSD-2003,WH2,2026-05-27,597,0,0,0,597
MSD-2003,WH2,2026-05-28,597,0,0,0,597
MSD-2003,WH2,2026-05-29,597,0,0,0,597
MSD-2003,WH2,2026-05-30,597,0,0,0,597
MSD-2003,WH2,2026-05-31,597,0,0,0,597
MSD-2003,WH2,2026-06-01,597,0,5,0,592
MSD-2003,WH2,2026-06-02,592,0,0,0,592
MSD-2003,WH2,2026-06-03,592,0,0,0,592
MSD-2003,WH2,2026-06-04,592,0,0,0,592
MSD-2003,WH2,2026-06-05,592,0,0,0,592
MSD-2003,WH2,2026-06-06,592,0,0,0,592
MSD-2003,WH2,2026-06-07,592,0,0,0,592
MSD-2003,WH2,2026-06-08,592,0,0,0,592
MSD-2003,WH2,2026-06-09,592,0,0,0,592
MSD-2003,WH2,2026-06-10,592,0,0,0,592
MSD-2003,WH2,2026-06-11,592,0,0,0,592
MSD-2003,WH2,2026-06-12,592,0,0,0,592
MSD-2003,WH2,2026-06-13,592,0,0,0,592
MSD-2003,WH2,2026-06-14,592,0,0,0,592
MSD-2003,WH2,2026-06-15,592,0,6,0,586
MSD-2003,WH2,2026-06-16,586,0,5,0,581
MSD-2003,WH2,2026-06-17,581,0,0,0,581
MSD-2003,WH2,2026-06-18,581,100,7,0,674
MSD-2003,WH2,2026-06-19,674,0,0,0,674
MSD-2003,WH2,2026-06-20,674,0,0,0,674
MSD-2003,WH2,2026-06-21,674,0,0,0,674
MSD-2003,WH2,2026-06-22,674,0,5,0,669
MSD-2003,WH2,2026-06-23,669,0,0,0,669
MSD-2003,WH2,2026-06-24,669,0,0,0,669
MSD-2003,WH2,2026-06-25,669,0,0,0,669
MSD-2003,WH2,2026-06-26,669,0,0,0,669
MSD-2003,WH2,2026-06-27,669,0,0,0,669
MSD-2003,WH2,2026-06-28,669,0,0,0,669
MSD-2003,WH2,2026-06-29,669,0,4,0,665
MSD-2003,WH2,2026-06-30,665,0,0,0,665
MSD-2003,WH2,2026-07-01,665,0,0,0,665
MSD-2003,WH2,2026-07-02,665,0,0,0,665
MSD-2003,WH2,2026-07-03,665,0,2,0,663
MSD-2003,WH2,2026-07-04,663,0,0,0,663
MSD-2003,WH2,2026-07-05,663,0,0,0,663
MSD-2003,WH2,2026-07-06,663,0,0,0,663
MSD-2003,WH2,2026-07-07,663,0,0,0,663
MSD-2003,WH2,2026-07-08,663,0,0,0,663
MSD-2003,WH2,2026-07-09,663,0,0,0,663
MSD-2003,WH2,2026-07-10,663,0,2,0,661
MSD-2003,WH2,2026-07-11,661,0,0,0,661
MSD-2003,WH2,2026-07-12,661,0,0,0,661
MSD-2003,WH2,2026-07-13,661,0,4,0,657
MSD-2003,WH2,2026-07-14,657,0,4,0,653
MSD-2003,WH2,2026-07-15,653,50,6,0,697
MSD-2003,WH2,2026-07-16,697,0,7,0,690
MSD-2003,WH2,2026-07-17,690,0,11,0,679
MSD-2003,WH2,2026-07-18,679,0,0,0,679
MSD-2003,WH2,2026-07-19,679,0,0,0,679
MSD-2003,WH2,2026-07-20,679,0,0,0,679
MSD-2003,WH2,2026-07-21,679,0,0,0,679
MSD-2003,WH2,2026-07-22,679,0,0,0,679
MSD-2003,WH2,2026-07-23,679,0,2,0,677
MSD-2003,WH2,2026-07-24,677,0,0,0,677
MSD-2003,WH2,2026-07-25,677,0,0,0,677
MSD-2003,WH2,2026-07-26,677,0,0,0,677
MSD-2003,WH2,2026-07-27,677,0,8,0,669
MSD-2003,WH2,2026-07-28,669,0,0,0,669
MSD-2003,WH2,2026-07-29,669,0,0,0,669
MSD-2003,WH2,2026-07-30,669,0,0,0,669
MSD-2003,WH2,2026-07-31,669,0,7,0,662
MSD-2003,WH2,2026-08-01,662,0,0,0,662
MSD-2003,WH2,2026-08-02,662,0,0,0,662
MSD-2003,WH2,2026-08-03,662,0,0,0,662
MSD-2003,WH2,2026-08-04,662,0,0,0,662
MSD-2003,WH2,2026-08-05,662,0,2,0,660
MSD-2003,WH2,2026-08-06,660,0,0,0,660
MSD-2003,WH2,2026-08-07,660,0,0,-6,654
MSD-2003,WH2,2026-08-08,654,0,0,0,654
MSD-2003,WH2,2026-08-09,654,0,0,0,654
MSD-2003,WH2,2026-08-10,654,0,0,0,654
MSD-2003,WH2,2026-08-11,654,0,5,0,649
MSD-2003,WH2,2026-08-12,649,0,7,0,642
MSD-2003,WH2,2026-08-13,642,0,0,0,642
MSD-2003,WH2,2026-08-14,642,0,1,0,641
MSD-2003,WH2,2026-08-15,641,0,0,0,641
MSD-2003,WH2,2026-08-16,641,0,0,0,641
MSD-2003,WH2,2026-08-17,641,0,0,0,641
MSD-2003,WH2,2026-08-18,641,0,6,0,635
MSD-2003,WH2,2026-08-19,635,0,0,0,635
MSD-2003,WH2,2026-08-20,635,0,5,0,630
MSD-2003,WH2,2026-08-21,630,0,8,0,622
MSD-2003,WH2,2026-08-22,622,0,0,0,622
MSD-2003,WH2,2026-08-23,622,0,0,-2,620
MSD-2003,WH2,2026-08-24,620,0,3,0,617
MSD-2003,WH2,2026-08-25,617,0,0,0,617
MSD-2003,WH2,2026-08-26,617,0,0,0,617
MSD-2003,WH2,2026-08-27,617,0,0,0,617
MSD-2003,WH2,2026-08-28,617,0,0,0,617
MSD-2003,WH2,2026-08-29,617,0,0,0,617
MSD-2003,WH2,2026-08-30,617,200,0,0,817
MSD-2003,WH2,2026-08-31,817,0,0,0,817
MSD-2003,WH2,2026-09-01,817,0,5,0,812
MSD-2003,WH2,2026-09-02,812,0,5,0,807
MSD-2003,WH2,2026-09-03,807,0,0,0,807
MSD-2003,WH2,2026-09-04,807,0,4,0,803
MSD-2003,WH2,2026-09-05,803,0,0,0,803
MSD-2003,WH2,2026-09-06,803,0,0,0,803
MSD-2003,WH2,2026-09-07,803,0,1,0,802
MSD-2003,WH2,2026-09-08,802,0,0,0,802
MSD-2004,WH3,2026-03-13,780,0,2,0,778
MSD-2004,WH3,2026-03-14,778,0,0,0,778
MSD-2004,WH3,2026-03-15,778,0,0,0,778
MSD-2004,WH3,2026-03-16,778,0,1,0,777
MSD-2004,WH3,2026-03-17,777,0,0,0,777
MSD-2004,WH3,2026-03-18,777,0,3,0,774
MSD-2004,WH3,2026-03-19,774,0,1,0,773
MSD-2004,WH3,2026-03-20,773,0,0,0,773
MSD-2004,WH3,2026-03-21,773,0,0,0,773
MSD-2004,WH3,2026-03-22,773,0,0,0,773
MSD-2004,WH3,2026-03-23,773,0,0,0,773
MSD-2004,WH3,2026-03-24,773,0,0,0,773
MSD-2004,WH3,2026-03-25,773,0,0,0,773
MSD-2004,WH3,2026-03-26,773,0,0,0,773
MSD-2004,WH3,2026-03-27,773,0,0,0,773
MSD-2004,WH3,2026-03-28,773,0,0,0,773
MSD-2004,WH3,2026-03-29,773,0,0,0,773
MSD-2004,WH3,2026-03-30,773,0,0,0,773
MSD-2004,WH3,2026-03-31,773,0,0,0,773
MSD-2004,WH3,2026-04-01,773,0,0,0,773
MSD-2004,WH3,2026-04-02,773,0,3,0,770
MSD-2004,WH3,2026-04-03,770,0,0,0,770
MSD-2004,WH3,2026-04-04,770,0,0,0,770
MSD-2004,WH3,2026-04-05,770,0,0,0,770
MSD-2004,WH3,2026-04-06,770,0,0,0,770
MSD-2004,WH3,2026-04-07,770,0,0,0,770
MSD-2004,WH3,2026-04-08,770,0,2,0,768
MSD-2004,WH3,2026-04-09,768,0,0,0,768
MSD-2004,WH3,2026-04-10,768,0,4,0,764
MSD-2004,WH3,2026-04-11,764,0,0,0,764
MSD-2004,WH3,2026-04-12,764,0,0,0,764
MSD-2004,WH3,2026-04-13,764,0,0,0,764
MSD-2004,WH3,2026-04-14,764,0,1,0,763
MSD-2004,WH3,2026-04-15,763,0,2,0,761
MSD-2004,WH3,2026-04-16,761,0,2,0,759
MSD-2004,WH3,2026-04-17,759,0,2,0,757
MSD-2004,WH3,2026-04-18,757,0,0,0,757
MSD-2004,WH3,2026-04-19,757,0,0,0,757
MSD-2004,WH3,2026-04-20,757,0,0,0,757
MSD-2004,WH3,2026-04-21,757,0,4,0,753
MSD-2004,WH3,2026-04-22,753,0,0,0,753
MSD-2004,WH3,2026-04-23,753,0,1,0,752
MSD-2004,WH3,2026-04-24,752,0,0,0,752
MSD-2004,WH3,2026-04-25,752,0,0,0,752
MSD-2004,WH3,2026-04-26,752,0,0,-1,751
MSD-2004,WH3,2026-04-27,751,0,3,0,748
MSD-2004,WH3,2026-04-28,748,0,0,0,748
MSD-2004,WH3,2026-04-29,748,0,1,0,747
MSD-2004,WH3,2026-04-30,747,0,1,0,746
MSD-2004,WH3,2026-05-01,746,0,1,0,745
MSD-2004,WH3,2026-05-02,745,0,0,0,745
MSD-2004,WH3,2026-05-03,745,0,0,0,745
MSD-2004,WH3,2026-05-04,745,0,3,0,742
MSD-2004,WH3,2026-05-05,742,0,4,0,738
MSD-2004,WH3,2026-05-06,738,0,0,0,738
MSD-2004,WH3,2026-05-07,738,0,0,0,738
MSD-2004,WH3,2026-05-08,738,0,3,0,735
MSD-2004,WH3,2026-05-09,735,0,0,0,735
MSD-2004,WH3,2026-05-10,735,0,0,0,735
MSD-2004,WH3,2026-05-11,735,0,3,0,732
MSD-2004,WH3,2026-05-12,732,0,0,0,732
MSD-2004,WH3,2026-05-13,732,0,0,0,732
MSD-2004,WH3,2026-05-14,732,0,0,0,732
MSD-2004,WH3,2026-05-15,732,100,0,0,832
MSD-2004,WH3,2026-05-16,832,0,0,0,832
MSD-2004,WH3,2026-05-17,832,0,0,0,832
MSD-2004,WH3,2026-05-18,832,0,0,0,832
MSD-2004,WH3,2026-05-19,832,0,4,0,828
MSD-2004,WH3,2026-05-20,828,0,0,0,828
MSD-2004,WH3,2026-05-21,828,0,3,0,825
MSD-2004,WH3,2026-05-22,825,0,2,0,823
MSD-2004,WH3,2026-05-23,823,0,0,0,823
MSD-2004,WH3,2026-05-24,823,50,0,0,873
MSD-2004,WH3,2026-05-25,873,0,0,0,873
MSD-2004,WH3,2026-05-26,873,0,0,0,873
MSD-2004,WH3,2026-05-27,873,0,0,0,873
MSD-2004,WH3,2026-05-28,873,0,0,0,873
MSD-2004,WH3,2026-05-29,873,0,0,0,873
MSD-2004,WH3,2026-05-30,873,0,0,0,873
MSD-2004,WH3,2026-05-31,873,0,0,0,873
MSD-2004,WH3,2026-06-01,873,0,0,0,873
MSD-2004,WH3,2026-06-02,873,0,0,0,873
MSD-2004,WH3,2026-06-03,873,0,4,0,869
MSD-2004,WH3,2026-06-04,869,0,0,0,869
MSD-2004,WH3,2026-06-05,869,0,3,0,866
MSD-2004,WH3,2026-06-06,866,0,0,0,866
MSD-2004,WH3,2026-06-07,866,0,0,0,866
MSD-2004,WH3,2026-06-08,866,0,0,0,866
MSD-2004,WH3,2026-06-09,866,0,0,0,866
MSD-2004,WH3,2026-06-10,866,0,0,0,866
MSD-2004,WH3,2026-06-11,866,0,5,0,861
MSD-2004,WH3,2026-06-12,861,0,3,0,858
MSD-2004,WH3,2026-06-13,858,0,0,0,858
MSD-2004,WH3,2026-06-14,858,50,0,0,908
MSD-2004,WH3,2026-06-15,908,0,0,0,908
MSD-2004,WH3,2026-06-16,908,0,0,0,908
MSD-2004,WH3,2026-06-17,908,0,0,0,908
MSD-2004,WH3,2026-06-18,908,0,0,0,908
MSD-2004,WH3,2026-06-19,908,0,0,0,908
MSD-2004,WH3,2026-06-20,908,0,0,0,908
MSD-2004,WH3,2026-06-21,908,0,0,-2,906
MSD-2004,WH3,2026-06-22,906,0,0,0,906
MSD-2004,WH3,2026-06-23,906,0,0,0,906
MSD-2004,WH3,2026-06-24,906,0,4,0,902
MSD-2004,WH3,2026-06-25,902,0,0,0,902
MSD-2004,WH3,2026-06-26,902,0,0,0,902
MSD-2004,WH3,2026-06-27,902,0,0,0,902
MSD-2004,WH3,2026-06-28,902,0,0,0,902
MSD-2004,WH3,2026-06-29,902,0,0,0,902
MSD-2004,WH3,2026-06-30,902,0,2,0,900
MSD-2004,WH3,2026-07-01,900,0,3,0,897
MSD-2004,WH3,2026-07-02,897,0,2,0,895
MSD-2004,WH3,2026-07-03,895,0,0,0,895
MSD-2004,WH3,2026-07-04,895,0,0,0,895
MSD-2004,WH3,2026-07-05,895,0,0,0,895
MSD-2004,WH3,2026-07-06,895,0,0,0,895
MSD-2004,WH3,2026-07-07,895,0,1,0,894
MSD-2004,WH3,2026-07-08,894,0,0,0,894
MSD-2004,WH3,2026-07-09,894,0,1,0,893
MSD-2004,WH3,2026-07-10,893,0,0,0,893
MSD-2004,WH3,2026-07-11,893,0,0,0,893
MSD-2004,WH3,2026-07-12,893,0,0,0,893
MSD-2004,WH3,2026-07-13,893,0,0,0,893
MSD-2004,WH3,2026-07-14,893,0,3,0,890
MSD-2004,WH3,2026-07-15,890,0,0,0,890
MSD-2004,WH3,2026-07-16,890,0,0,0,890
MSD-2004,WH3,2026-07-17,890,0,0,0,890
MSD-2004,WH3,2026-07-18,890,0,0,0,890
